chapter_n,page_id,title,description
0,Introduction,Introduction,The introduction of the book focusses on the main concepts in computational literary studies and offers a brief history of the field. The accompanying page contains a list of main research and infrastructure projects.
1,TextAnalysis,1. Literary historiography and computational text analysis,The first chapter presents the main theories of literary historiography and connects them to the most basic approaches in computational text analysis. The accompanying page contains a list of tools and resources for natural language processing.
2,Stylometry,2. Stylistics and stylometry,The second chapter discusses the concept of style in stylistics and stylometry. The accompanying page contains a list of tools and resources in stylometry.
3,SentimentAnalysis,3. Emotions in literature and sentiment analysis,The third chapter focusses on emotions in literary studies and in sentiment analysis. The accompanying page contains a list of tools and resources for sentiment analysis.
4,TopicModeling,4. Thematic criticism and topic modeling,The fourth chapter explores the connections between thematic criticism and topic modeling. The accompanying page contains a list of tools and resources for topic modeling.
5,Mapping,5. Mapping literature,The fifth chapter focusses on GIS technology and spatial literary studies. The accompanying page contains a list of tools and resources for mapping.
6,Networks,6. Networking characters,The sixth chapter connects character studies and social network analysis. The accompanying page contains a list of tools and resources for network analysis.
7,TextReuse,7. Intertextuality and text reuse detection,The seventh chapter focusses on the issue of intertextuality and its study through computational tools. The accompanying page contains a list of tools and resources for text reuse detection and semantic similarity.
8,MLGenAI,8. Artificial Intelligence and the challenge of interpretation,The eight chapter discusses the challenge of interpretation in computational literary studies. The accompanying page contains a list of tools and resources for machine learning and generative artificial intelligence.
9,Conclusion,Conclusion,The conclusion reconnects the topics discussed in all chapters through the concept of modeling. The accompanying page contains a list of networking initiatives relevant to Computational Literary Studies.
